id_cie	cod	descrip
1	A00	Cólera
2	A000	Colera debido a vibrio cholerae o1, biotipo cholerae
3	A001	Colera debido a vibrio cholerae o1, biotipo el tor
4	A009	Colera no especificado
5	A01	Fiebres tifoidea y paratifoidea
6	A010	Fiebre tifoidea
7	A011	Fiebre paratifoidea a
8	A012	Fiebre paratifoidea b
9	A013	Fiebre paratifoidea c
10	A014	Fiebre paratifoidea, no especificada
11	A02	Otras infecciones debidas a Salmonella
12	A020	Enteritis debida a salmonella
13	A021	Septicemia debida a salmonella
14	A022	Infecciones localizadas debida a salmonella
15	A028	Otras infecciones especificadas como debidas a salmonella
16	A029	Infeccion debida a salmonella no especificada
17	A03	Shigelosis
18	A030	Shigelosis debida a shigella dysenteriae
19	A031	Shigelosis debida a shigella flexneri
20	A032	Shigelosis debida a shigella boydii
21	A033	Shigelosis debida a shigella sonnei
22	A038	Otras shigelosis
23	A039	Shigelosis de tipo no especificado
24	A04	Otras infecciones intestinales bacterianas
25	A040	Infeccion debida a escherichia coli enteropatogena
26	A041	Infeccion debida a escherichia coli enterotoxigena
27	A042	Infeccion debida a escherichia coli enteroinvasiva
28	A043	Infeccion debida a escherichia coli enterohemorragica
29	A044	Otras infecciones intestinales debidas a escherichia coli
30	A045	Enteritis debida a campylobacter
31	A046	Enteritis debida a yersinia enterocolitica
32	A047	Enterocolitis debida a clostridium difficile
33	A048	Otras infecciones intestinales bacterianas especificadas
34	A049	Infeccion intestinal bacteriana, no especificada
35	A05	Otras intoxicaciones alimentarias bacterias
36	A050	Intoxicacion alimentaria estafilococica
37	A051	Botulismo
38	A052	Intoxicacion alimentaria debida a clostridium perfringens [clostridium welchii]
39	A053	Intoxicacion alimentaria debida a vibrio parahaemolyticus
40	A054	Intoxicacion alimentaria debida a bacillus cereus
41	A058	Otras intoxicaciones alimentarias debidas a bacterias especificadas
42	A059	Intoxicacion alimentaria bacteriana, no especificada
43	A06	Amebiasis
44	A060	Disenteria amebiana aguda
45	A061	Amebiasis intestinal cronica
46	A062	Colitis amebiana no disenterica
47	A063	Ameboma intestinal
48	A064	Absceso amebiano del higado
49	A065	Absceso amebiano del pulmon (j99.8)
50	A066	Absceso amebiano del cerebro (g07)
51	A067	Amebiasis cutanea
52	A068	Infeccion amebiana de otras localizaciones
53	A069	Amebiasis, no especificada
54	A07	Otras enfermedades intestinales debidas a protozoarios
55	A070	Balantidiasis
56	A071	Giardiasis [lambliasis]
57	A072	Criptosporidiosis
58	A073	Isosporiasis
59	A078	Otras enfermedades intestinales especificadas debidas a protozoarios
60	A079	Enfermedad intestinal debida a protozoarios, no especificada
61	A08	Infecciones intestinales debidas a virus y otros organismos especificados
62	A080	Enteritis debida a rotavirus
63	A081	Gastroenteropatia aguda debida al agente de norwalk
64	A082	Enteritis debida a adenovirus
65	A083	Otras enteritis virales
66	A084	Infeccion intestinal viral, sin otra especificacion
67	A085	Otras infecciones intestinales especificadas
68	A09	Diarrea y gastroenteritis de presunto origen infeccioso
69	A15	Tuberculosis respiratoria, confirmada bacteriológica e histologicamente
70	A150	Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo
71	A151	Tuberculosis del pulmon, confirmada unicamente por cultivo
72	A152	Tuberculosis del pulmon, confirmada histologicamente
73	A153	Tuberculosis del pulmon , confirmada por medios no especificados
74	A154	Tuberculosis de ganglios linfaticos intratoracicos, confirmada bacteriologica e histologicamente
75	A155	Tuberculosis de laringe, traquea y bronquios, confirmada bacteriologica e histologicamente
76	A156	Pleuresia tuberculosa, confirmada bacteriologica e histologicamente
77	A157	Tuberculosis respiratoria primaria, confirmada bacteriologica e histologicamente
78	A158	Otras tuberculosis respiratorias, confirmadas bacteriologica e histologicamente
79	A159	Tuberculosis respiratoria no especificada, confirmada bacteriologicamente e histologicamente
80	A16	Tuberculosis respiratoria, no confirmada bacteriologica e histologicamente
81	A160	Tuberculosis del pulmon, con examen bacteriologico e histologico negativos
82	A161	Tuberculosis del pulmon, sin examen bacteriologico e histologico
83	A162	Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
84	A163	Tuberculosis de ganglios linfaticos intratoracicos, sin mencion de confirmacion bacteriologica o histologica
85	A164	Tuberculosis de laringe, traquea y bronquios, sin mencion de confirmacion bacteriologica o histologica
86	A165	Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica e histologica
87	A167	Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica e histologica
88	A168	Otras tuberculosis respiratorias, sin mencion de confirmacion
89	A169	Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
90	A17	Tuberculosis del sistema nervioso
91	A170	Meningitis tuberculosa (g01)
92	A171	Tuberculoma meningeo (g07)
93	A178	Otras tuberculosis del sistema nervioso
94	A179	Tuberculosis del sistema nervioso, no especificada (g99.8)
95	A18	Tuberculosis de otros órganos
96	A180	Tuberculosis de huesos y articulaciones
97	A181	Tuberculosis del aparato genitourinario
98	A182	Linfadenopatia periferica tuberculosa
99	A183	Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos
100	A184	Tuberculosis de la piel y el tejido subcutaneo
101	A185	Tuberculosis del ojo
102	A186	Tuberculosis del oido
103	A187	Tuberculosis de glandulas suprarrenales (e35.1)
104	A188	Tuberculosis de otros organos especificados
105	A19	Tuberculosis miliar
106	A190	Tuberculosis miliar aguda de un solo sitio especificado
107	A191	Tuberculosis miliar aguda de sitios multiples
108	A192	Tuberculosis miliar aguda, no especificada
109	A198	Otras tuberculosis miliares
110	A199	Tuberculosis miliar, sin otra especificacion
111	A20	Peste
112	A200	Peste bubonica
113	A201	Peste celulocutanea
114	A202	Peste neumonica
115	A203	Meningitis por peste
116	A207	Peste septicemica
117	A208	Otras formas de peste
118	A209	Peste, no especificada
119	A21	Tularemia
120	A210	Tularemia ulceroglandular
121	A211	Tularemia oculoglandular
122	A212	Tularemia pulmonar
123	A213	Tularemia gastrointestinal
124	A217	Tularemia generalizada
125	A218	Otras formas de tularemia
126	A219	Tularemia , no especificada
127	A22	Carbunco (ántrax)
128	A220	Carbunco cutaneo
129	A221	Carbunco pulmonar
130	A222	Carbunco gastrointestinal
131	A227	Carbunco septicemico
132	A228	Otras formas de carbunco
133	A229	Carbunco, no especificado
134	A23	Brucelosis
135	A230	Brucelosis debida a brucella melitensis
136	A231	Brucelosis debida a brucella abortus
137	A232	Brucelosis debida a brucella suis
138	A233	Brucelosis debida a brucella canis
139	A238	Otras brucelosis
140	A239	Brucelosis, no especificada
141	A24	Muermo y melioidosis
142	A240	Muermo
143	A241	Melioidosis aguda y fulminante
144	A242	Melioidosis subaguda y cronica
145	A243	Otras melioidosis
146	A244	Melioidosis , no especificada
147	A25	Fiebre por mordedura de rata
148	A250	Espirilosis
149	A251	Estreptobacilosis
150	A259	Fiebre por mordedura de rata, no especificada
151	A26	Erisipeloide
152	A260	Erisipeloide cutaneo
153	A267	Septicemia por erysipelothrix
154	A268	Otras formas de erisipeloide
155	A269	Erisipeloide, no especificada
156	A27	Leptospirosis
157	A270	Leptospirosis icterohemorragica
158	A278	Otras formas de leptospirosis
159	A279	Leptospirosis, no especificada
160	A28	Otras enfermedades zoonóticas bacterianas, no clasificadas en otra parte
161	A280	Pasteurelosis
162	A281	Enfermedad por rasguño de gato
163	A282	Yersiniosis extraintestinal
164	A288	Otras enfermedades zoonoticas bacterianas especificadas, no clasificadas en otra parte
165	A289	Enfermedad zoonotica bacteriana, sin otra especificacion
166	A30	Lepra (enfermedad de Hansen)
167	A300	Lepra indeterminada
168	A301	Lepra tuberculoide
169	A302	Lepra tuberculoide limitrofe
