"Nro_SIISA"	"NroRemito"	"FechaRemito"	"Botiquines"	"CodMedicamentoOL"	"Medicamento"	"UnidadesMinimas"	"LoteFabricacion"	"fechavencimiento"	"GTIN"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RGGA001"	"ACIDO VALPROICO FRASCOS X 120 ML"	2	"A19X"	31/7/2016 00:00:00	"07790375002930"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RGGA018"	"ERITROMICINA FRASCOS X 100ML"	2	"93470"	30/9/2016 00:00:00	"07795332006020"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RGGA022"	"GLIBENCLAMIDA COMPRIMIDOS"	120	"064"	31/1/2018 00:00:00	"07798030232173"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RGGA022"	"GLIBENCLAMIDA COMPRIMIDOS"	120	"065"	31/1/2018 00:00:00	"07798030232173"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RGGA059"	"ASPIRINA COMPRIMIDOS"	240	"055"	30/9/2016 00:00:00	"07798032934655"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RHMB025"	"HIERRO (S. FERROSO) + A. FÓLICO COMPRIMIDOS"	120	"HN117"	31/1/2017 00:00:00	"07798021292292"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RI6A033"	"MEBENDAZOL COMPRIMIDOS"	72	"17111114"	30/11/2016 00:00:00	"07798154682762"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RI6A033"	"MEBENDAZOL COMPRIMIDOS"	72	"17181114"	30/11/2016 00:00:00	"07798154682762"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RI6A046"	"PARACETAMOL COMPRIMIDOS"	40	"19391114"	30/11/2016 00:00:00	"07798154682816"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RI6A046"	"PARACETAMOL COMPRIMIDOS"	40	"19401114"	30/11/2016 00:00:00	"07798154682816"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RIMA002"	"AMIODARONA COMPRIMIDOS"	180	"D5504"	30/6/2017 00:00:00	"07795360003589"
"10740072180010"	"0352-00449183"	15/9/2015 10:12:51	2	"RIMA004"	"AMOXICILINA COMPRIMIDOS"	105	"A5517"	30/6/2017 00:00:00	"07795360006610"
